Name,State,Control,Region,Enrollment
Mesivta Torah Vodaath Rabbinical Seminary,NY,Private,Northeast,252
Caribbean University-Vega Baja,PR,Private,Territory,253
Pine Manor College,MA,Private,Northeast,255
Faith Baptist Bible College and Theological Seminary,IA,Private,Midwest,256
Bethesda University,CA,Private,West,257
Pennsylvania College of Art and Design,PA,Private,Northeast,257
Linfield College-Online and Continuing Education,OR,Private,West,258
American Academy of Art,IL,Private,Midwest,260
John Paul the Great Catholic University,CA,Private,West,260
Southern California Institute of Architecture,CA,Private,West,262
Martin University,IN,Private,Midwest,262
Rabbinical Seminary of America,NY,Private,Northeast,263
