Name,State,Control,Region,Enrollment
University of Northern Iowa,IA,Public,Midwest,9686
South Dakota State University,SD,Public,Midwest,9704
Indiana University of Pennsylvania-Main Campus,PA,Public,Northeast,9965
North Carolina A & T State University,NC,Public,Southeast,10011
Youngstown State University,OH,Public,Midwest,10039
University of Wisconsin-Eau Claire,WI,Public,Midwest,10070
The University of Tennessee-Chattanooga,TN,Public,Southeast,10097
Universidad Ana G. Mendez-Carolina Campus,PR,Private,Territory,10140
Texas A & M University-Corpus Christi,TX,Public,West,10170
Embry-Riddle Aeronautical University-Worldwide,FL,Private,Southeast,10256
University of Colorado Colorado Springs,CO,Public,West,10344
University of North Dakota,ND,Public,Midwest,10351
University of West Georgia,GA,Public,Southeast,10468
Eastern Washington University,WA,Public,West,10500
University of Vermont,VT,Public,Northeast,10513
University of Wisconsin-Whitewater,WI,Public,Midwest,10543
Savannah College of Art and Design,GA,Private,Southeast,10568
University of Miami,FL,Private,Southeast,10613
Universidad Ana G. Mendez-Cupey Campus,PR,Private,Territory,10617
Stephen F Austin State University,TX,Public,West,10655
University of Pennsylvania,PA,Private,Northeast,10660
University of South Alabama,AL,Public,Southeast,10712
Northern Kentucky University,KY,Public,Southeast,10728
Thomas Edison State University,NJ,Public,Northeast,10787
Indiana State University,IN,Public,Midwest,10817
East Tennessee State University,TN,Public,Southeast,10881
Southern Illinois University-Carbondale,IL,Public,Midwest,10896
Southeastern Louisiana University,LA,Public,Southeast,10929
CUNY Lehman College,NY,Public,Northeast,10949
Wichita State University,KS,Public,Midwest,10970
University of Maryland-Baltimore County,MD,Public,Northeast,11130
New Mexico State University-Main Campus,NM,Public,West,11173
Loyola University Chicago,IL,Private,Midwest,11193
Wright State University-Main Campus,OH,Public,Midwest,11251
Tarleton State University,TX,Public,West,11283
University of Alaska Anchorage,AK,Public,West,11332
Southern Illinois University-Edwardsville,IL,Public,Midwest,11339
Central Washington University,WA,Public,West,11468
University of Colorado Denver/Anschutz Medical Campus,CO,Public,West,11531
Ferris State University,MI,Public,Midwest,11549
Georgia Gwinnett College,GA,Public,Southeast,11584
Cleveland State University,OH,Public,Midwest,11647
North Dakota State University-Main Campus,ND,Public,Midwest,11687
George Washington University,DC,Private,Northeast,11718
University of Southern Mississippi,MS,Public,Southeast,11747
St John's University-New York,NY,Private,Northeast,11756
Kean University,NJ,Public,Northeast,11761
University of Puerto Rico-Rio Piedras,PR,Public,Territory,11763
Minnesota State University-Mankato,MN,Public,Midwest,11966
Columbia College,MO,Private,Midwest,11975
College of Staten Island CUNY,NY,Public,Northeast,12118
University of Massachusetts-Boston,MA,Public,Northeast,12159
Fort Hays State University,KS,Public,Midwest,12174
University of Puerto Rico-Mayaguez,PR,Public,Territory,12208
University of Houston-Downtown,TX,Public,West,12310
University of Nebraska at Omaha,NE,Public,Midwest,12424
CUNY John Jay College of Criminal Justice,NY,Public,Northeast,12426
